import time: self [us] | cumulative | imported package
import time:   5521668 |   65939798 | django.contrib.auth.base_user
import time:   1476504 |    1476504 | django.contrib.auth.validators
import time:   1337613 |    1337613 | django.utils.translation.reloader
import time:   1491709 |    1491709 | django.contrib.sessions.base_session
import time:   1403721 |    1403721 |   django.contrib.auth.tokens
import time:   1400618 |    1400618 |     django.contrib.sites
import time:   1459832 |    1459832 |     django.contrib.sites.requests
import time:   1364347 |    4224796 |   django.contrib.sites.shortcuts
import time:   1527447 |    7155964 | django.contrib.auth.forms
import time:   1428782 |    1428782 | django.contrib.contenttypes.fields
import time:   1437815 |    1437815 | django.contrib.contenttypes.forms
import time:   1495350 |    1495350 | rest_framework.checks
import time:   1531588 |    1531588 | django.core.management.utils
import time:   1497372 |    1497372 |   django.db.migrations.optimizer
import time:   2520008 |    2520008 |       django.db.migrations.graph
import time:   1550407 |    1550407 |       django.db.migrations.recorder
import time:   1317907 |    5388321 |     django.db.migrations.loader
import time:   1431476 |    6819797 |   django.db.migrations.questioner
import time:   2222493 |   10539660 | django.db.migrations.autodetector
import time:   1398128 |    1398128 |   django.db.migrations.serializer
import time:   1394026 |    2792154 | django.db.migrations.writer
import time:   1515555 |    1515555 | django.core.management.sql
import time:   1778875 |    1778875 | django.db.migrations.executor
import time:   1557617 |    1557617 | django.contrib.contenttypes.views
import time:   1502910 |    1502910 |       rest_framework.status
import time:   1418532 |    1418532 |         rest_framework.utils
import time:   1332894 |    1332894 |         rest_framework.utils.json
import time:   1508912 |    4260337 |       rest_framework.utils.serializer_helpers
import time:   1423341 |    7186587 |     rest_framework.exceptions
import time:   1750105 |    1750105 |       rest_framework.settings
import time:   1506777 |    3256882 |     rest_framework.request
import time:   2449327 |    2449327 |           django.contrib.postgres
import time:   1461072 |    1461072 |                     django.db.backends.postgresql
import time:       427 |        427 |                     psycopg
import time:       200 |        200 |                     psycopg2
import time:   1793609 |    3255306 |                   django.db.backends.postgresql.psycopg_any
import time:   1433165 |    4688470 |                 django.contrib.postgres.search
import time:   1282290 |    5970760 |               django.contrib.postgres.lookups
import time:   1536169 |    7506929 |             django.contrib.postgres.fields.array
import time:   1423155 |    8930083 |           django.contrib.postgres.fields
import time:       222 |        222 |           coreapi
import time:       156 |        156 |           uritemplate
import time:       138 |        138 |           coreschema
import time:       119 |        119 |           yaml
import time:       119 |        119 |           inflection
import time:   1352126 |    1352126 |               urllib3.exceptions
import time:   2439105 |    2439105 |                       urllib3.util.timeout
import time:   1323859 |    3762964 |                     urllib3.util.connection
import time:   1342072 |    1342072 |                       urllib3.util.util
import time:       165 |        165 |                       brotlicffi
import time:        42 |         42 |                       brotli
import time:        40 |         40 |                       backports
import time:   1686263 |    3028582 |                     urllib3.util.request
import time:   1533860 |    1533860 |                     urllib3.util.response
